city,city_record_cnt
上海市,110637
杭州市,42016
常州市,36606
福州市,32286
厦门市,22310
苏州市,17319
南京市,13448
无锡市,11334
温州市,9325
合肥市,8381
盐城市,7196
三明市,6267
东营市,5645
丽水市,5136
泉州市,5001
上饶市,4509
连云港市,4424
潍坊市,4118
南平市,3609
湖州市,3115
绍兴市,2935
南昌市,2721
宁波市,2680
舟山市,2321
徐州市,2255
九江市,1959
台州市,1952
南通市,1714
黄山市,1622
宁德市,1506
青岛市,1255
银川市,1213
嘉兴市,1202
北京市,1098
保山市,1054
抚州市,1036
漳州市,1009
安庆市,962
扬州市,921
金华市,879
德宏傣族景颇族自治州,869
景德镇市,868
西双版纳傣族自治州,840
六安市,836
广州市,819
绵阳市,754
龙岩市,749
济宁市,746
深圳市,732
镇江市,728
衢州市,691
遵义市,689
淮安市,648
池州市,566
信阳市,554
长沙市,530
,494
海东市,457
海南藏族自治州,423
赣州市,422
宣城市,413
莆田市,384
日照市,373
济南市,372
成都市,343
呼伦贝尔市,330
重庆市,329
海西蒙古族藏族自治州,308
泰安市,307
阿坝藏族羌族自治州,274
广元市,270
西宁市,262
昆明市,243
玉树藏族自治州,238
烟台市,226
马鞍山市,162
阿拉善盟,161
宿州市,157
大理白族自治州,152
海北藏族自治州,149
亳州市,144
菏泽市,143
文山壮族苗族自治州,138
呼和浩特市,130
芜湖市,115
儋州市,109
宿迁市,107
毕节市,105
威海市,99
海口市,98
吉安市,96
宜昌市,92
淮南市,90
铜陵市,89
泰州市,86
北海市,83
临沂市,77
淄博市,74
聊城市,73
雅安市,72
南宁市,68
阜阳市,68
张掖市,67
崇左市,63
临夏回族自治州,60
安顺市,60
宜春市,59
汉中市,58
楚雄彝族自治州,58
拉萨市,58
德州市,57
沈阳市,49
西安市,47
佛山市,46
张家口市,44
宝鸡市,41
武汉市,40
黔西南布依族苗族自治州,39
承德市,36
黄冈市,34
"浦东新区世纪塘路，堤顶路""",33
柳州市,31
三亚市,31
百色市,30
来宾市,30
迪庆藏族自治州,29
滁州市,28
德阳市,26
陇南市,24
白银市,23
吴忠市,23
湘潭市,23
忻州市,21
甘南藏族自治州,20
石家庄市,20
贵阳市,19
锡林郭勒盟,19
大庆市,18
荆州市,17
山南市,17
焦作市,17
太原市,15
石嘴山市,13
兰州市,13
驻马店市,13
萍乡市,12
梧州市,12
巴音郭楞蒙古自治州,12
珠海市,11
哈尔滨市,9
常德市,9
澳门特别行政区,9
东莞市,9
天津市,9
洛阳市,9
滨州市,9
梅州市,8
林芝市,7
鹰潭市,7
丽江市,7
汕尾市,6
郑州市,6
黄石市,6
开封市,6
安康市,6
岳阳市,5
贺州市,5
黄南藏族自治州,5
红河哈尼族彝族自治州,4
阿克苏地区,4
保定市,4
茂名市,4
曲靖市,3
新余市,3
酒泉市,3
乌海市,3
咸阳市,3
白山市,2
南阳市,2
惠州市,2
天水市,2
新乡市,2
蚌埠市,1
吕梁市,1
长春市,1
